stage,t_s,gbps,handshakes,new_dmesg
moderate,15,0.74,7,0
moderate,30,2.83,7,0
moderate,45,4.22,7,0
moderate,60,4.22,7,0
moderate,75,4.22,7,0
moderate,90,4.22,7,0
moderate,105,4.22,7,0
moderate,120,4.22,7,0
moderate,135,4.22,7,0
moderate,150,4.22,7,0
moderate,165,4.22,7,0
moderate,180,4.22,7,0
moderate,195,4.22,7,0
moderate,210,4.22,7,0
moderate,225,4.22,7,0
moderate,240,4.22,7,0
moderate,255,4.22,7,0
moderate,270,4.22,7,0
moderate,285,4.22,7,0
moderate,300,4.22,7,0
moderate,315,4.22,7,0
moderate,330,4.22,7,0
moderate,345,4.22,7,0
moderate,360,4.22,7,0
moderate,375,4.22,7,0
moderate,390,4.22,7,0
moderate,405,4.22,7,0
moderate,420,4.22,7,0
moderate,435,4.22,7,0
moderate,450,4.22,7,0
moderate,465,4.22,7,0
moderate,480,4.22,7,0
moderate,495,4.22,7,0
moderate,510,4.22,7,0
moderate,525,4.22,7,0
moderate,540,4.22,7,0
moderate,555,4.22,7,0
moderate,570,4.22,7,0
moderate,585,4.22,7,0
moderate,600,4.22,7,0
moderate,615,4.22,7,0
moderate,630,4.22,7,0
moderate,645,4.22,7,0
moderate,660,4.22,7,0
moderate,675,4.22,7,0
moderate,690,4.22,7,0
moderate,705,4.22,7,0
moderate,720,4.22,7,0
moderate,735,4.22,7,0
moderate,750,4.22,7,0
moderate,765,4.22,7,0
moderate,780,4.22,7,0
moderate,795,4.22,7,0
moderate,810,4.22,7,0
moderate,825,4.22,7,0
moderate,840,4.22,7,0
moderate,855,4.22,7,0
moderate,870,4.22,7,0
moderate,885,4.22,7,0
moderate,900,4.22,7,0
linerate,15,4.41,8,0
linerate,30,4.42,8,0
linerate,45,4.40,8,0
linerate,60,4.41,8,0
linerate,75,4.43,8,0
linerate,90,4.43,8,0
linerate,105,4.43,8,0
linerate,120,4.41,8,0
linerate,135,4.41,8,0
linerate,150,4.40,8,0
linerate,165,4.40,8,0
linerate,180,4.41,8,0
linerate,195,4.43,8,0
linerate,210,4.42,8,0
linerate,225,4.42,8,0
linerate,240,4.42,8,0
linerate,255,4.42,8,0
linerate,270,4.41,8,0
linerate,285,4.42,8,0
linerate,300,4.42,8,0
linerate,315,4.42,8,0
linerate,330,4.42,8,0
linerate,345,4.42,8,0
linerate,360,4.42,8,0
linerate,375,4.42,8,0
linerate,390,4.42,8,0
linerate,405,4.42,8,0
linerate,420,4.43,8,0
linerate,435,4.42,8,0
linerate,450,4.42,8,0
linerate,465,4.42,8,0
linerate,480,4.42,8,0
linerate,495,4.41,8,0
linerate,510,4.42,8,0
linerate,525,4.42,8,0
linerate,540,4.42,8,0
linerate,555,4.42,8,0
linerate,570,4.42,8,0
linerate,585,4.41,8,0
linerate,600,4.41,8,0
linerate,615,4.41,8,0
linerate,630,4.41,8,0
linerate,645,4.41,8,0
linerate,660,4.42,8,0
linerate,675,4.42,8,0
linerate,690,4.42,8,0
linerate,705,4.41,8,0
linerate,720,4.42,8,0
linerate,735,4.42,8,0
linerate,750,4.43,8,0
linerate,765,4.43,8,0
linerate,780,4.43,8,0
linerate,795,4.43,8,0
linerate,810,4.43,8,0
linerate,825,4.43,8,0
linerate,840,4.44,8,0
linerate,855,4.44,8,0
linerate,870,4.44,8,0
linerate,885,4.42,8,0
linerate,900,4.42,8,0
